month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered,monthly_nbhd_meals_library,meal_percent_library_covered,charitable_percent_covered
1,2020,Carthage,31,13,0,18,120.07,241.69,3021,1040,911,537,286,3.33,0.225961538,0.806840928,2.9,1,280953,935573.49,56797.15,0.060708379,19258.2,0.068545985,0.936095292,2067.083333,0.007357399,0,0,0,0,0,0,0,0,0.007357399
1,2020,Clifton,31,13,0,18,120.07,241.69,8476,4118,1379,751,212,3.33,0.050995629,0.875841693,2.075568288,0.4,788268,2624932.44,50754.9,0.019335698,9013.68,0.011434791,0.906612182,702.5,8.91E-04,0,0,0,0,0,0,0,0,8.91E-04
1,2020,College Hill,31,13,0,18,120.07,241.69,16199,7263,3660,2115,618,3.33,0.144292992,0.842489456,2.210749863,1,1506507,5016668.31,253291.12,0.050489908,63952.2,0.042450649,0.935430013,7329.15,0.004864996,0,0,0,0,0,0,0,0,0.004864996
1,2020,Columbia Tusculum,31,13,0,18,120.07,241.69,1533.955374,712.7721151,250.8824927,120.0414576,40.70609982,3.33,0.027389277,0.962334613,2.15,0.13,142657.8497,475050.6397,4718.347872,0.009932305,488.9940697,0.00342774,0.975694659,0,0,0,0,0,0,0,0,0,0,0
1,2020,Corryville,31,13,0,18,120.07,241.69,4310,1868,192,75,9,3.33,0.051391863,0.705229009,2.254939759,1,400830,1334763.9,23202.24,0.017383029,1965.6,0.004903825,0.727515863,4400.770917,0.010979146,0,0,0,0,0,0,0,0,0.010979146
1,2020,CUF,31,13,0,18,120.07,241.69,16792,5439,516,180,190,3.33,0.05846663,0.775875336,2.201993048,1,1561656,5200314.48,76857.42,0.014779379,8658,0.005544115,0.79619883,9485.808333,0.006074198,0,0,0,0,0,0,0,0,0.006074198
1,2020,Downtown,31,13,0,18,120.07,241.69,3914.909697,2723.126573,201.8201332,37.58771281,0,3.33,0.115489662,0.908709516,1.400396681,1,364086.6018,1212408.384,76009.80548,0.062693236,879.5524796,0.002415778,0.973818531,3302.8,0.009071468,0,0,0,0,0,0,0,0,0.009071468
1,2020,East End,31,13,0,18,120.07,241.69,1462,703,201,94,47,3.33,0.086770982,0.935705267,2.06,1,135966,452766.78,14743.09,0.032562217,3299.4,0.024266361,0.992533845,4788.108333,0.035215483,0,0,0,0,0,0,0,0,0.035215483
1,2020,East Price Hill,31,13,0,18,120.07,241.69,14788,6063,4110,2240,563,3.33,0.309252845,0.802082883,2.421629116,1,1375284,4579695.72,453168.75,0.098951716,65590.2,0.047692113,0.948726712,27675.81667,0.02012371,0,0,0,0,0,0,0,0,0.02012371
1,2020,East Walnut Hills,31,13,0,18,120.07,241.69,3730.882391,2345.219794,238.0109254,95.55205656,27.90938303,3.33,0.042030472,0.949114357,1.57315749,1,346972.0623,1155416.968,23823.55105,0.020619007,2888.997686,0.008326312,0.978059676,10183.60417,0.029349925,0,0,0,0,0,0,0,0,0.029349925
